time,ask price,ask volume,bid price,bid volume,"order type (1:submission_of_new_limit, 2:partial_cancelation, 3:total_cancelation, 4:execution_of_visible, 5:execution_of_hidden, 7:trading_halt)",order id,size,order price,"order direction (-1:sell, 1:buy)",mid price = (ask price + bid price) / 2,spread = ask price - bid price
34207.67645084,579.52,260,579.0,41,1,16885580,260,579.52,-1,579.26,0.5199999999999818
34207.677857238,579.66,2300,579.0,41,3,16885580,260,579.52,-1,579.3299999999999,0.6599999999999682
34207.678675572,579.52,260,579.0,41,1,16885653,260,579.52,-1,579.26,0.5199999999999818
34207.680038855,579.66,2300,579.0,41,3,16885653,260,579.52,-1,579.3299999999999,0.6599999999999682
34207.68143834,579.52,260,579.0,41,1,16885764,260,579.52,-1,579.26,0.5199999999999818
34207.682373702,579.66,2300,579.0,41,3,16885764,260,579.52,-1,579.3299999999999,0.6599999999999682
34207.683828361,579.52,260,579.0,41,1,16885944,260,579.52,-1,579.26,0.5199999999999818
34207.685155565,579.66,2300,579.0,41,3,16885944,260,579.52,-1,579.3299999999999,0.6599999999999682
34207.686630374,579.52,260,579.0,41,1,16886066,260,579.52,-1,579.26,0.5199999999999818
34207.687969395,579.66,2300,579.0,41,3,16886066,260,579.52,-1,579.3299999999999,0.6599999999999682
34207.689494057,579.52,260,579.0,41,1,16886214,260,579.52,-1,579.26,0.5199999999999818
34207.690330524,579.66,2300,579.0,41,3,16886214,260,579.52,-1,579.3299999999999,0.6599999999999682
34207.691780207,579.52,260,579.0,41,1,16886286,260,579.52,-1,579.26,0.5199999999999818
34207.693269535,579.66,2300,579.0,41,3,16886286,260,579.52,-1,579.3299999999999,0.6599999999999682
34207.695127956,579.52,260,579.0,41,1,16886468,260,579.52,-1,579.26,0.5199999999999818
34207.696489237,579.66,2300,579.0,41,3,16886468,260,579.52,-1,579.3299999999999,0.6599999999999682
34207.697920734,579.52,260,579.0,41,1,16886587,260,579.52,-1,579.26,0.5199999999999818
34207.698908035,579.66,2300,579.0,41,3,16886587,260,579.52,-1,579.3299999999999,0.6599999999999682
34208.145807111,579.66,2302,579.0,41,1,16903596,2,579.66,-1,579.3299999999999,0.6599999999999682
34208.146115376,579.66,2300,579.0,41,3,16903596,2,579.66,-1,579.3299999999999,0.6599999999999682
34208.146115376,579.52,2,579.0,41,1,16903615,2,579.52,-1,579.26,0.5199999999999818
34209.135238134,579.45,100,579.0,41,1,16936717,100,579.45,-1,579.225,0.4500000000000455
34209.153478631,579.45,102,579.0,41,1,16937480,2,579.45,-1,579.225,0.4500000000000455
34209.745480497,579.45,112,579.0,41,1,16955579,10,579.45,-1,579.225,0.4500000000000455
34210.172085995,579.45,131,579.0,41,1,16981526,19,579.45,-1,579.225,0.4500000000000455
34210.740131279,579.45,231,579.0,41,1,17020275,100,579.45,-1,579.225,0.4500000000000455
34211.015012413,579.45,212,579.0,41,3,16981526,19,579.45,-1,579.225,0.4500000000000455
34211.058977504,579.45,212,579.0,22,4,7091133,19,579.0,1,579.225,0.4500000000000455
34212.141429731,579.45,212,579.0,1,4,7091133,21,579.0,1,579.225,0.4500000000000455
34212.141429731,579.45,212,578.99,1,4,9248169,1,579.0,1,579.22,0.4600000000000364
34212.141429731,579.45,212,578.5,9,4,4496151,1,578.99,1,578.975,0.9500000000000455
34212.141429731,579.45,212,578.5,9,5,0,3,578.99,1,578.975,0.9500000000000455
34212.141429731,579.45,212,578.5,9,5,0,3,578.93,1,578.975,0.9500000000000455
34212.150479521,578.9,2171,578.5,9,1,17083481,2171,578.9,-1,578.7,0.39999999999997726
34212.1715959,579.45,212,578.5,9,3,17083481,2171,578.9,-1,578.975,0.9500000000000455
34212.171759523,578.51,2171,578.5,9,1,17085000,2171,578.51,-1,578.505,0.009999999999990905
34212.171865865,578.51,2071,578.5,9,4,17085000,100,578.51,-1,578.505,0.009999999999990905
34212.171969276,578.51,2071,578.21,10,4,4773351,9,578.5,1,578.36,0.2999999999999545
34212.204258788,579.45,212,578.21,10,3,17085000,2071,578.51,-1,578.83,1.240000000000009
34212.204573984,579.45,212,578.0,174,4,858821,10,578.21,1,578.725,1.4500000000000455
34212.204573984,579.45,212,578.0,169,4,2175511,5,578.0,1,578.725,1.4500000000000455
34212.204573984,579.45,212,578.0,164,4,5858286,5,578.0,1,578.725,1.4500000000000455
34212.204573984,579.45,212,578.0,136,4,9476859,28,578.0,1,578.725,1.4500000000000455
34212.204573984,579.45,212,578.0,86,4,9618128,50,578.0,1,578.725,1.4500000000000455
34212.204573984,579.45,212,578.0,84,4,12797564,2,578.0,1,578.725,1.4500000000000455
34212.204791502,579.45,212,578.0,84,5,0,100,578.09,1,578.725,1.4500000000000455
34212.204962809,579.45,212,578.0,84,5,0,409,578.02,1,578.725,1.4500000000000455
34212.204962809,579.45,212,578.0,84,5,0,100,578.01,1,578.725,1.4500000000000455
34212.204962809,579.45,212,577.99,1,4,12797564,84,578.0,1,578.72,1.4600000000000364
34212.204962809,578.0,1278,577.99,1,1,17086852,1278,578.0,-1,577.995,0.009999999999990905
34212.205124171,578.0,1678,577.99,1,1,17086865,400,578.0,-1,577.995,0.009999999999990905
34212.205187242,578.0,400,577.99,1,3,17086852,1278,578.0,-1,577.995,0.009999999999990905
34212.20522105,578.0,400,577.51,110,4,2176461,1,577.99,1,577.755,0.4900000000000091
34212.205259616,578.0,400,577.51,110,5,0,99,577.97,-1,577.755,0.4900000000000091
34212.205259616,578.0,400,577.51,110,5,0,1,577.97,-1,577.755,0.4900000000000091
34212.205324774,578.0,400,577.51,110,5,0,199,577.97,-1,577.755,0.4900000000000091
34212.205324774,578.0,399,577.51,110,4,17086865,1,578.0,-1,577.755,0.4900000000000091
34212.205330204,579.45,212,577.51,110,3,17086865,399,578.0,-1,578.48,1.9400000000000546
34212.206090682,579.45,212,578.0,200,1,17086988,200,578.0,1,578.725,1.4500000000000455
34212.206550349,579.45,212,578.0,200,5,0,200,578.03,1,578.725,1.4500000000000455
34212.206876537,579.45,212,578.0,200,5,0,100,578.05,1,578.725,1.4500000000000455
34212.206876537,579.45,212,578.0,200,5,0,100,578.01,1,578.725,1.4500000000000455
34212.207179106,579.45,212,578.0,200,5,0,100,578.01,1,578.725,1.4500000000000455
34212.207179106,579.45,212,578.0,100,4,17086988,100,578.0,1,578.725,1.4500000000000455
34212.207361737,579.45,212,577.51,110,4,17086988,100,578.0,1,578.48,1.9400000000000546
34212.208156427,578.0,578,577.51,110,1,17087159,578,578.0,-1,577.755,0.4900000000000091
34212.245781202,579.45,210,577.51,110,3,17087159,578,578.0,-1,578.48,1.9400000000000546
34212.24593772,579.45,210,577.51,110,5,0,100,577.54,1,578.48,1.9400000000000546
34212.246235883,579.45,210,577.51,110,5,0,100,577.54,1,578.48,1.9400000000000546
34212.24640177,579.45,210,577.51,110,5,0,100,577.52,1,578.48,1.9400000000000546
34212.246573827,579.45,210,577.51,100,4,3911727,10,577.51,1,578.48,1.9400000000000546
34212.246573827,579.45,210,577.51,10,4,16273432,90,577.51,1,578.48,1.9400000000000546
34212.24678587,579.45,210,577.45,3,4,16273432,10,577.51,1,578.45,2.0
34212.246816706,579.45,210,577.51,66,1,17089209,66,577.51,1,578.48,1.9400000000000546
34212.246961714,579.45,210,577.45,3,4,17089209,66,577.51,1,578.45,2.0
34212.246961714,577.51,102,577.45,3,1,17089214,102,577.51,-1,577.48,0.05999999999994543
34212.2765606,577.51,104,577.45,3,1,17090451,2,577.51,-1,577.48,0.05999999999994543
34212.278004576,577.51,2,577.45,3,3,17089214,102,577.51,-1,577.48,0.05999999999994543
34212.28018577,577.51,2,577.45,1,4,3565712,2,577.45,1,577.48,0.05999999999994543
34212.280250969,577.51,2,577.24,20,4,3565712,1,577.45,1,577.375,0.2699999999999818
34212.284162466,579.45,210,577.24,20,4,17090451,2,577.51,-1,578.345,2.2100000000000364
34212.295288066,577.51,2,577.24,20,1,17091418,2,577.51,-1,577.375,0.2699999999999818
34212.29557982,579.45,210,577.24,20,4,17091418,2,577.51,-1,578.345,2.2100000000000364
34212.29557982,579.45,210,577.51,98,1,17091434,98,577.51,1,578.48,1.9400000000000546
34212.317876704,579.11,100,577.51,98,1,17092219,100,579.11,-1,578.31,1.6000000000000227
34212.34250483,579.11,102,577.51,98,1,17093146,2,579.11,-1,578.31,1.6000000000000227
34212.705131581,579.11,102,577.24,20,4,17091434,98,577.51,1,578.175,1.8700000000000045
34212.705131581,579.11,102,577.24,20,5,0,2,577.45,1,578.175,1.8700000000000045
34212.719680789,579.11,102,577.45,100,1,17104353,100,577.45,1,578.28,1.6599999999999682
34212.725440621,579.11,102,577.45,108,1,17104451,8,577.45,1,578.28,1.6599999999999682
34213.294061275,579.11,102,577.45,708,1,17120812,600,577.45,1,578.28,1.6599999999999682
34213.962547453,579.11,2,577.45,708,3,17092219,100,579.11,-1,578.28,1.6599999999999682
34214.499755316,579.11,2,577.45,700,3,17104451,8,577.45,1,578.28,1.6599999999999682
34215.471948615,578.59,100,577.45,700,1,17185218,100,578.59,-1,578.02,1.1399999999999864
34215.472129336,578.59,200,577.45,700,1,17185233,100,578.59,-1,578.02,1.1399999999999864
34216.113710965,578.59,200,577.45,100,3,17120812,600,577.45,1,578.02,1.1399999999999864
34216.113867794,578.59,100,577.45,100,3,17185233,100,578.59,-1,578.02,1.1399999999999864
34216.116067882,578.59,100,577.55,600,1,17206828,600,577.55,1,578.0699999999999,1.0400000000000773
34217.147886513,578.8,2,577.55,600,3,17185218,100,578.59,-1,578.175,1.25
