time,ask price,ask volume,bid price,bid volume,"order type (1:submission_of_new_limit, 2:partial_cancelation, 3:total_cancelation, 4:execution_of_visible, 5:execution_of_hidden, 7:trading_halt)",order id,size,order price,"order direction (-1:sell, 1:buy)",mid price = (ask price + bid price) / 2,spread = ask price - bid price
54653.521240664,221.23,200,221.19,100,1,241797511,100,221.19,1,221.20999999999998,0.03999999999999204
54653.590397112,221.23,200,221.07,116,4,241797511,100,221.19,1,221.14999999999998,0.1599999999999966
54653.590635088,221.23,200,221.19,100,1,241802186,100,221.19,1,221.20999999999998,0.03999999999999204
54654.726691066,221.23,200,221.19,98,4,241802186,2,221.19,1,221.20999999999998,0.03999999999999204
54654.726954437,221.23,200,221.19,198,1,241823981,100,221.19,1,221.20999999999998,0.03999999999999204
54655.399431055,221.22,100,221.19,198,1,241833668,100,221.22,-1,221.20499999999998,0.030000000000001137
54655.399529927,221.22,200,221.19,198,1,241833669,100,221.22,-1,221.20499999999998,0.030000000000001137
54655.471733118,221.22,200,221.19,100,4,241802186,98,221.19,1,221.20499999999998,0.030000000000001137
54655.471733118,221.22,200,221.19,98,4,241823981,2,221.19,1,221.20499999999998,0.030000000000001137
54655.471859882,221.22,200,221.1,200,4,241823981,98,221.19,1,221.16,0.12000000000000455
54655.471859882,221.22,200,221.1,200,5,0,2,221.19,1,221.16,0.12000000000000455
54655.472006246,221.22,200,221.19,100,1,241836626,100,221.19,1,221.20499999999998,0.030000000000001137
54655.473276154,221.22,200,221.19,88,4,241836626,12,221.19,1,221.20499999999998,0.030000000000001137
54655.473571142,221.22,200,221.19,188,1,241837309,100,221.19,1,221.20499999999998,0.030000000000001137
54655.473885098,221.22,200,221.19,100,4,241836626,88,221.19,1,221.20499999999998,0.030000000000001137
54655.473885098,221.22,200,221.19,88,4,241837309,12,221.19,1,221.20499999999998,0.030000000000001137
54655.474174097,221.22,200,221.19,188,1,241837573,100,221.19,1,221.20499999999998,0.030000000000001137
54655.475711475,221.22,206,221.19,188,1,241838270,6,221.22,-1,221.20499999999998,0.030000000000001137
54655.729575038,221.22,206,221.19,100,4,241837309,88,221.19,1,221.20499999999998,0.030000000000001137
54655.729575038,221.22,206,221.19,88,4,241837573,12,221.19,1,221.20499999999998,0.030000000000001137
54655.729864283,221.22,206,221.19,188,1,241846934,100,221.19,1,221.20499999999998,0.030000000000001137
54655.729939618,221.22,206,221.19,100,4,241837573,88,221.19,1,221.20499999999998,0.030000000000001137
54655.731022705,221.22,206,221.1,200,4,241846934,100,221.19,1,221.16,0.12000000000000455
54655.731465751,221.22,206,221.19,100,1,241847898,100,221.19,1,221.20499999999998,0.030000000000001137
54655.732561378,221.22,206,221.1,200,3,241847898,100,221.19,1,221.16,0.12000000000000455
54655.733727292,221.22,222,221.1,200,1,241849069,16,221.22,-1,221.16,0.12000000000000455
54655.739963356,221.22,222,221.19,100,1,241850414,100,221.19,1,221.20499999999998,0.030000000000001137
54655.741978448,221.22,206,221.19,100,3,241849069,16,221.22,-1,221.20499999999998,0.030000000000001137
54655.743120314,221.22,206,221.1,200,4,241850414,100,221.19,1,221.16,0.12000000000000455
54655.743120314,221.22,206,221.1,200,5,0,100,221.19,1,221.16,0.12000000000000455
54655.743381499,221.22,206,221.19,100,1,241850872,100,221.19,1,221.20499999999998,0.030000000000001137
54656.126310676,221.22,206,221.1,200,4,241850872,100,221.19,1,221.16,0.12000000000000455
54656.126514033,221.22,206,221.19,100,1,241862575,100,221.19,1,221.20499999999998,0.030000000000001137
54656.12982116,221.22,206,221.19,200,1,241862649,100,221.19,1,221.20499999999998,0.030000000000001137
54656.682627456,221.22,206,221.19,100,4,241862575,100,221.19,1,221.20499999999998,0.030000000000001137
54656.682627456,221.22,206,221.1,200,4,241862649,100,221.19,1,221.16,0.12000000000000455
54656.682801725,221.22,206,221.1,200,5,0,400,221.19,1,221.16,0.12000000000000455
54656.684041799,221.22,206,221.1,200,5,0,100,221.19,1,221.16,0.12000000000000455
54656.684915123,221.22,206,221.19,100,1,241872902,100,221.19,1,221.20499999999998,0.030000000000001137
54656.689862124,221.22,206,221.1,200,4,241872902,100,221.19,1,221.16,0.12000000000000455
54656.690455557,221.22,206,221.1,200,5,0,100,221.19,1,221.16,0.12000000000000455
54656.691135177,221.22,206,221.1,200,5,0,100,221.19,1,221.16,0.12000000000000455
54656.694284698,221.22,222,221.1,200,1,241878866,16,221.22,-1,221.16,0.12000000000000455
54656.701039394,221.21,100,221.1,200,1,241883224,100,221.21,-1,221.155,0.11000000000001364
54656.701548455,221.21,200,221.1,200,1,241883576,100,221.21,-1,221.155,0.11000000000001364
54656.705675339,221.21,200,221.19,100,1,241886239,100,221.19,1,221.2,0.020000000000010232
54656.706047398,221.21,100,221.19,100,3,241883224,100,221.21,-1,221.2,0.020000000000010232
54656.706346831,221.22,122,221.19,100,3,241883576,100,221.21,-1,221.20499999999998,0.030000000000001137
54656.714985834,221.22,122,221.19,99,4,241886239,1,221.19,1,221.20499999999998,0.030000000000001137
54656.71540956,221.22,122,221.19,199,1,241892446,100,221.19,1,221.20499999999998,0.030000000000001137
54656.738726509,221.22,122,221.19,100,4,241886239,99,221.19,1,221.20499999999998,0.030000000000001137
54656.738726509,221.22,122,221.19,99,4,241892446,1,221.19,1,221.20499999999998,0.030000000000001137
54656.738805998,221.22,122,221.1,200,4,241892446,99,221.19,1,221.16,0.12000000000000455
54656.73904625,221.21,100,221.1,200,1,241901732,100,221.21,-1,221.155,0.11000000000001364
54656.739052926,221.21,100,221.18,100,1,241901736,100,221.18,1,221.195,0.030000000000001137
54656.739194728,221.21,200,221.18,100,1,241901769,100,221.21,-1,221.195,0.030000000000001137
54656.739222011,221.21,100,221.18,100,3,241901732,100,221.21,-1,221.195,0.030000000000001137
54656.739330797,221.22,122,221.18,100,3,241901769,100,221.21,-1,221.2,0.03999999999999204
54656.743257953,221.22,122,221.1,200,3,241901736,100,221.18,1,221.16,0.12000000000000455
54656.743464116,221.21,100,221.1,200,1,241902717,100,221.21,-1,221.155,0.11000000000001364
54656.743580507,221.21,200,221.1,200,1,241902735,100,221.21,-1,221.155,0.11000000000001364
54656.783063609,221.21,216,221.1,200,1,241910524,16,221.21,-1,221.155,0.11000000000001364
54656.814372547,221.21,222,221.1,200,1,241919271,6,221.21,-1,221.155,0.11000000000001364
54656.849987591,221.18,100,221.1,200,1,241930296,100,221.18,-1,221.14,0.0800000000000125
54656.850279917,221.18,200,221.1,200,1,241930489,100,221.18,-1,221.14,0.0800000000000125
54656.850322032,221.18,300,221.1,200,1,241930510,100,221.18,-1,221.14,0.0800000000000125
54656.854981473,221.18,300,221.07,100,3,241811107,200,221.1,1,221.125,0.11000000000001364
54656.855345062,221.18,400,221.07,100,1,241933782,100,221.18,-1,221.125,0.11000000000001364
54656.870707751,221.18,500,221.07,100,1,241939623,100,221.18,-1,221.125,0.11000000000001364
54656.884231753,221.18,400,221.07,100,3,241930296,100,221.18,-1,221.125,0.11000000000001364
54657.109558872,221.18,300,221.07,100,3,241933782,100,221.18,-1,221.125,0.11000000000001364
54657.315253495,221.16,100,221.07,100,1,241972143,100,221.16,-1,221.115,0.09000000000000341
54657.315361701,221.16,200,221.07,100,1,241972150,100,221.16,-1,221.115,0.09000000000000341
54657.329601846,221.16,100,221.07,100,3,241972150,100,221.16,-1,221.115,0.09000000000000341
54658.315194388,221.18,206,221.07,100,3,241972143,100,221.16,-1,221.125,0.11000000000001364
54658.317651471,221.16,100,221.07,100,1,242008745,100,221.16,-1,221.115,0.09000000000000341
54658.317753975,221.16,200,221.07,100,1,242008751,100,221.16,-1,221.115,0.09000000000000341
54658.317925051,221.16,206,221.07,100,1,242008755,6,221.16,-1,221.115,0.09000000000000341
54658.967464399,221.15,100,221.07,100,1,242023329,100,221.15,-1,221.11,0.0800000000000125
54658.967580373,221.15,200,221.07,100,1,242023332,100,221.15,-1,221.11,0.0800000000000125
